TopResults (sorted by smallest lossTotal):,,,,,,,,,,
Rank,LossTotal,Rows,Columns,MarginBetween,MarginEdge,CardHeight,CardWidth,,,
1,0.32,4,8,10,9,68.00,48.96,,,
2,0.36,4,8,9,6,70.25,50.58,,,
3,0.4,4,8,8,3,72.50,52.20,,,
4,0.64,3,6,10,3,98.00,70.56,,,
5,1.2,4,8,10,10,67.50,48.60,,,
6,1.24,4,8,9,7,69.75,50.22,,,
7,1.28,4,8,8,4,72.00,51.84,,,
8,1.52,3,6,10,4,97.33,70.08,,,
9,2.12,4,8,9,8,69.25,49.86,,,
10,2.16,4,8,8,5,71.50,51.48,,,
,,,,,,,,,,
Rows,Columns,MarginBetween,MarginEdge,CardHeight,CardWidth,UsedHeight,LossHeight,UsedWidth,LossWidth,LossTotal
2,3,3,3,155.5,111.96,320,0,347.88,132.12,132.12
2,4,3,3,155.5,111.96,320,0,462.84,17.16,17.16
2,5,3,3,155.5,111.96,320,0,577.8,-97.8,-97.8
2,6,3,3,155.5,111.96,320,0,692.76,-212.76,-212.76
2,7,3,3,155.5,111.96,320,0,807.72,-327.72,-327.72
2,8,3,3,155.5,111.96,320,0,922.68,-442.68,-442.68
2,9,3,3,155.5,111.96,320,0,1037.64,-557.64,-557.64
2,10,3,3,155.5,111.96,320,0,1152.6,-672.6,-672.6
2,3,3,4,154.5,111.24,320,0,347.72,132.28,132.28
2,4,3,4,154.5,111.24,320,0,461.96,18.04,18.04
2,5,3,4,154.5,111.24,320,0,576.2,-96.2,-96.2
2,6,3,4,154.5,111.24,320,0,690.44,-210.44,-210.44
2,7,3,4,154.5,111.24,320,0,804.68,-324.68,-324.68
2,8,3,4,154.5,111.24,320,0,918.92,-438.92,-438.92
2,9,3,4,154.5,111.24,320,0,1033.16,-553.16,-553.16
2,10,3,4,154.5,111.24,320,0,1147.4,-667.4,-667.4
2,3,3,5,153.5,110.52,320,0,347.56,132.44,132.44
2,4,3,5,153.5,110.52,320,0,461.08,18.92,18.92
2,5,3,5,153.5,110.52,320,0,574.6,-94.6,-94.6
2,6,3,5,153.5,110.52,320,0,688.12,-208.12,-208.12
2,7,3,5,153.5,110.52,320,0,801.64,-321.64,-321.64
2,8,3,5,153.5,110.52,320,0,915.16,-435.16,-435.16
2,9,3,5,153.5,110.52,320,0,1028.68,-548.68,-548.68
2,10,3,5,153.5,110.52,320,0,1142.2,-662.2,-662.2
2,3,3,6,152.5,109.8,320,0,347.4,132.6,132.6
2,4,3,6,152.5,109.8,320,0,460.2,19.8,19.8
2,5,3,6,152.5,109.8,320,0,573,-93,-93
2,6,3,6,152.5,109.8,320,0,685.8,-205.8,-205.8
2,7,3,6,152.5,109.8,320,0,798.6,-318.6,-318.6
2,8,3,6,152.5,109.8,320,0,911.4,-431.4,-431.4
2,9,3,6,152.5,109.8,320,0,1024.2,-544.2,-544.2
2,10,3,6,152.5,109.8,320,0,1137,-657,-657
2,3,3,7,151.5,109.08,320,0,347.24,132.76,132.76
2,4,3,7,151.5,109.08,320,0,459.32,20.68,20.68
2,5,3,7,151.5,109.08,320,0,571.4,-91.4,-91.4
2,6,3,7,151.5,109.08,320,0,683.48,-203.48,-203.48
2,7,3,7,151.5,109.08,320,0,795.56,-315.56,-315.56
2,8,3,7,151.5,109.08,320,0,907.64,-427.64,-427.64
2,9,3,7,151.5,109.08,320,0,1019.72,-539.72,-539.72
2,10,3,7,151.5,109.08,320,0,1131.8,-651.8,-651.8
2,3,3,8,150.5,108.36,320,0,347.08,132.92,132.92
2,4,3,8,150.5,108.36,320,0,458.44,21.56,21.56
2,5,3,8,150.5,108.36,320,0,569.8,-89.8,-89.8
2,6,3,8,150.5,108.36,320,0,681.16,-201.16,-201.16
2,7,3,8,150.5,108.36,320,0,792.52,-312.52,-312.52
2,8,3,8,150.5,108.36,320,0,903.88,-423.88,-423.88
2,9,3,8,150.5,108.36,320,0,1015.24,-535.24,-535.24
2,10,3,8,150.5,108.36,320,0,1126.6,-646.6,-646.6
2,3,3,9,149.5,107.64,320,0,346.92,133.08,133.08
2,4,3,9,149.5,107.64,320,0,457.56,22.44,22.44
2,5,3,9,149.5,107.64,320,0,568.2,-88.2,-88.2
2,6,3,9,149.5,107.64,320,0,678.84,-198.84,-198.84
2,7,3,9,149.5,107.64,320,0,789.48,-309.48,-309.48
2,8,3,9,149.5,107.64,320,0,900.12,-420.12,-420.12
2,9,3,9,149.5,107.64,320,0,1010.76,-530.76,-530.76
2,10,3,9,149.5,107.64,320,0,1121.4,-641.4,-641.4
2,3,3,10,148.5,106.92,320,0,346.76,133.24,133.24
2,4,3,10,148.5,106.92,320,0,456.68,23.32,23.32
2,5,3,10,148.5,106.92,320,0,566.6,-86.6,-86.6
2,6,3,10,148.5,106.92,320,0,676.52,-196.52,-196.52
2,7,3,10,148.5,106.92,320,0,786.44,-306.44,-306.44
2,8,3,10,148.5,106.92,320,0,896.36,-416.36,-416.36
2,9,3,10,148.5,106.92,320,0,1006.28,-526.28,-526.28
2,10,3,10,148.5,106.92,320,0,1116.2,-636.2,-636.2
2,3,4,3,155,111.6,320,0,348.8,131.2,131.2
